s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PROPANE,MLR_PRODUCTS
 7.5015068E+000, 7.5587669E+001, 0.0000000E+000,-2.0478502E+001,-1.4619830E+001,-3.2868101E+000,-5.0959515E-003, 0.0000000E+000, 0.0000000E+000, 3.7141663E+001, 3.7197431E+001, 0.0000000E+000, 1.7807891E-003, 0.0000000E+000
 7.8090081E+000, 7.8780189E+001, 0.0000000E+000,-2.0307004E+001,-1.6055131E+001,-3.4756480E+000,-5.3099279E-003, 0.0000000E+000, 0.0000000E+000, 3.8941165E+001, 3.8937096E+001, 0.0000000E+000, 1.8532639E-003, 0.0000000E+000
 8.1098070E+000, 8.2120985E+001, 0.0000000E+000,-2.2170283E+001,-1.6548730E+001,-3.5980121E+000,-5.4755619E-003, 0.0000000E+000, 0.0000000E+000, 3.9726523E+001, 3.9798484E+001, 0.0000000E+000, 1.9266902E-003, 0.0000000E+000
 8.4110279E+000, 8.4888223E+001, 0.0000000E+000,-2.1727685E+001,-1.4306740E+001,-3.8441077E+000,-5.7021993E-003, 0.0000000E+000, 0.0000000E+000, 4.4832258E+001, 4.5003989E+001, 0.0000000E+000, 1.9997994E-003, 0.0000000E+000
 8.7081413E+000, 8.7940520E+001, 0.0000000E+000,-2.1932557E+001,-1.6487883E+001,-4.0980606E+000,-5.8765249E-003, 0.0000000E+000, 0.0000000E+000, 4.5421004E+001, 4.5416143E+001, 0.0000000E+000, 2.0724636E-003, 0.0000000E+000
 9.0061026E+000, 9.0229858E+001, 0.0000000E+000,-2.4147449E+001,-2.3623251E+001,-4.0181644E+000,-6.0435394E-003, 0.0000000E+000, 0.0000000E+000, 3.8695337E+001, 3.8434950E+001, 0.0000000E+000, 2.1442643E-003, 0.0000000E+000
 9.3015919E+000, 9.4390441E+001, 0.0000000E+000,-2.5514760E+001,-2.7957745E+001,-4.1548427E+000,-6.2395666E-003, 0.0000000E+000, 0.0000000E+000, 3.6611339E+001, 3.6756852E+001, 0.0000000E+000, 2.2168677E-003, 0.0000000E+000
 9.6131773E+000, 9.7206222E+001, 0.0000000E+000,-2.6048679E+001,-2.5876635E+001,-4.5286744E+000,-6.4523612E-003, 0.0000000E+000, 0.0000000E+000, 4.0699026E+001, 4.0745781E+001, 0.0000000E+000, 2.2894854E-003, 0.0000000E+000
 9.9067202E+000, 1.0104914E+002, 0.0000000E+000,-2.6887171E+001,-2.4632835E+001,-4.5287036E+000,-6.6401877E-003, 0.0000000E+000, 0.0000000E+000, 4.4745718E+001, 4.4993790E+001, 0.0000000E+000, 2.3620242E-003, 0.0000000E+000
 1.0204524E+001, 1.0285467E+002, 0.0000000E+000,-2.6424759E+001,-2.3488561E+001,-5.0359002E+000,-6.8159163E-003, 0.0000000E+000, 0.0000000E+000, 4.7845210E+001, 4.7898639E+001, 0.0000000E+000, 2.4343209E-003, 0.0000000E+000
